date_closed,instrument,shares,entry_time_et,entry_price,exit_time_et,exit_price,pnl_usd,pnl_pct_position,pnl_pct_account,initial_stop_pct,r_multiple,fees_usd,mae_pct,mfe_pct,hold_minutes,stop_initial,stop_final,target_pct,catalyst_type,catalyst_direction,catalyst_age_min,exit_reason,slippage_entry,slippage_exit,rulebook_commit,counts_toward_streak,counts_toward_expectancy,notes
2026-08-10,GUSH,1,09:52:55,37.9299,15:02:33,39.1613,1.2314,3.2464,3.0152,4.6926,0.6918,0.0000,,,310,36.1500,38.4000,25.0,geopolitical,bullish,,stalled_momentum,-0.0501,0.0613,pre-rulebook,yes,yes,"Hormuz supply shock. MAE/MFE not recorded - predates the observation layer. Both fills better than limit (favorable slippage). Under current rules this exit would need to be justified as a reversal (crude rolling off its high), not a stall, since +3.25% sat below the then-active +5% floor."
2026-08-11,AGQ,0.52,09:45:04,80.4442,09:46:07,80.6001,0.0811,0.1938,0.1928,2.5100,0.0772,0.0000,0.0000,0.1938,1,78.4500,,8.0,commodity_trend_structure,bullish,,fractional_cannot_be_protected,0.0177,,c15054d,no,no,"NOT a thesis exit. Entry passed the new commodity trend-structure gate (SLV +15.9%/AGQ +33.9% over six sessions; miners green while metal red; inside prior range). Exited 63 seconds later because the broker refuses a resting stop on a fractional quantity — stop_market rejected as 'Invalid trigger for fractional order' after the buy had already filled. Sequencing error: capability should have been proven BEFORE the entry, not after. Held unprotected for 63s. Silver ticked up during the hold so the round trip gained $0.08; that is luck, not vindication. Fractional now prohibited outright."
2026-08-11,NVDX,1,09:51:46,19.8083,10:40:02,19.6901,-0.1182,-0.5967,-0.1902,4.9900,-0.1196,0.0000,0.6500,0.5600,48,18.8200,18.8200,8.0,sector_sympathy,bullish,,stall_2_below_breakeven,-0.2104,-0.3053,c15054d,yes,no,"SYSTEM TEST, not a signal trade — exclude from signal expectancy, count as an execution test. Governor funded $20 to validate whole-share stop mechanics after fractional proved unprotectable. That validated: stop rested at the broker (shares_held_for_sells=1) and cancelled cleanly before the exit. Entry quality was known-poor at the time — three trend reversals in 20 minutes is chop, and NVDA was lagging its own sector (SMH +1.26% vs NVDA +0.84%). Instrument chosen on 98.4% vs 93% capital deployment over SMCX, which had 0.78 mfe_per_stop against NVDX's 0.54; that error produced the new ranking rule. Exited on the new asymmetric ladder (2 stalls below breakeven = sell) the moment the governor approved it, rather than waiting for the 11:00 third check. Both fills favourable: entry 4.2c inside the limit, exit 6.0c above it."
2026-08-13,FNGU,1,09:48:39,33.5999,12:05:50,33.5801,-0.0198,-0.0589,-0.0319,3.2140,-0.0183,0.0000,-0.4432,1.1908,137,32.5200,32.5200,4.81,ai_capex_continuation,bullish,,stall_2_below_fill,-0.0301,0.0151,a994c83,yes,yes,"First trade to run the full Aug-11 gate stack end to end and the first clean test of the stall ladder's 2-below-fill branch. Gate 1 passed decisively (SMH +0.13% at 09:31:33 -> +1.16% at 09:46:29, +1.02pp) against yesterday's 0.6bp noise pass, and breadth flipped from bad to good inside those 15 minutes with AVGO reversing -0.74% -> +1.94%. Gate 3 chose FNGU (class priority 1, affordable at $33.63) over SMCX despite SMCX ranking higher on mfe_per_stop (0.836 rank 5 vs 0.716 rank 11) and passing Gate 2 cleanly; the narrow reading that would have unlocked SMCX means defining the read to exactly the width that excludes the affordable priority-1 vehicle, which is what Gate 3 exists to stop. Sector semis vehicles ruled out by price: SOXL 147.78, TECL 219.73, USD 96.11. ROOT CAUSE OF THE LOSS IS ENTRY TIMING, NOT THE EXIT. FNGU opened at 32.750 and topped at 34.000; Gate 1's mandatory 15-minute wait consumed +2.60pp of a +3.82pp move, so I bought the last quarter of it. At entry the instrument was already +4.38% on the day against a median MFE of 2.405% - 1.82x its typical whole-day excursion already spent - making the +4.81% target arithmetically unreachable rather than merely unlikely. True MFE was +1.19% and the +2.30% breakeven trigger never fired, so the ratchet never engaged and no gain was ever protected; nothing in the system banks a sub-1% move, correctly. Best checkpoint exit was +0.863% at 10:42 vs the actual -0.059%, so staying too long cost ~0.29R against entry timing's ~3pp. The ladder still saved ~0.98R against letting the -3.21% stop take a full R. FANG+ dilution was the mechanism: semis held all day (SMH +1.64% at exit) while MSFT, AMZN and AAPL rolled over underneath. NOTE: 11:00 and 11:30 checkpoints were MISSED, so the stall count rests on 3 checks over 2h17m instead of 5 - the count is honest but the cadence §8.1 assumes was broken. Half-risk ratchet trigger 33.986 was touched intraday at 34.000 but missed at the 10:42 read of 33.890; changed nothing. See EXP-016."
2026-08-17,GUSH,1,09:47:08,41.7699,10:08:10,41.7500,-0.0199,-0.0477,-0.0321,2.5000,-0.0191,0.0000,0.8018,0.5748,21,40.7300,41.7700,4.89,geopolitical,bullish,,resting_stop_triggered_breakeven,-0.0301,-0.0200,3a6cf1b,yes,yes,"First trade under the rebuilt v3.4 rulebook. Entry: sector-leveraged rank-2 (C4) via XLE/energy after MU's individual C3 leg-2 (relative volume) came in ~1.4x at 9:40, short of the 1.75x bar - no individual stock had a genuine two-leg clear. GUSH ranked #1 of 21 profiled names by mfe_per_stop (0.979); qualified through C1 (XLE positive and improving 9:30->9:40) plus C6 in place of a named catalyst (clean HH/HL with one resolved pullback, USO confirming the crude complex, today's low inside Friday's range). B5 headlines at 10:00 then surfaced the real fundamental behind it: Strait of Hormuz traffic slowing further, new Bab el-Mandeb blockade threat, Brent ~$88.62 - the same class of catalyst as the pre-rebuild Aug-10 GUSH trade in this log. At the 10:00 checkpoint, stall count reached 1 (checkpoint price $41.85 did not clear run_high x 1.0037) with price still at/above fill, so B2's stall rule forced the stop to breakeven ($41.77) ahead of the stepped ratchet's own half-risk threshold ($42.28), which price never reached. That resting stop triggered on its own between checkpoints at 10:08, before the 10:30 slot ran - not a checkpoint-driven 2-stall SELL ALL. Intraday the position ran as high as $42.01 (MFE +0.57%) before rolling over hard within 3 minutes and tagging the stop; in hindsight the exit was on the early side of a move that had more room, but the breakeven-lock mechanism exists specifically to trade some upside for guaranteed downside protection on a single-check basis, which is what it did - one trade is not a pattern, no rule change proposed. Net result effectively flat: -$0.02, -0.048% on the position, r=-0.019. Exit fill $41.75 came in $0.02 below the $41.77 stop trigger, ordinary stop_market slippage. Same-day round trip now spent - no further entries today per E2."
2026-08-19,GUSH,1,09:43:21,44.2500,11:03:39,44.4656,0.2156,0.4872,0.3478,2.5000,0.1942,0.0000,0.5650,0.5198,80,43.1400,43.1400,4.87,commodity_trend_structure,bullish,,stall_3_before_noon,-0.0300,0.0157,e14ad6c,yes,yes,"First trade under v3.6, and the first real test of the new before-noon 3-stall ladder (stalls 1-2 force no stop move at all, unlike the old 2-stall-with-breakeven-lock rule that closed the Aug-17 GUSH trade early). Entry: individual-stock path was shut out entirely at 9:40 - the updated 1.25x-volume scanner returned only 4 matches market-wide, none on the 20-name watchlist, despite several wrappers (MSTX, CONL, MUU, TSMU, NVDL, TSLL) showing real price legs at 9:30 that never got volume confirmation. Fell to sector-leveraged rank-2 (C4): XLE passed all three C1 legs (9:30 +0.267% -> 9:40 +0.683%, strengthening), GDX passed too but stayed untradeable at every rank (NUGT/GDX itself both priced over the account's buying power) - gold was the real story today (GDX +7.16%, a genuine 5-session rally on heavy inflows) but simply unreachable with $61.99. GUSH qualified through C6 in place of a named catalyst: clean 3-session HH/HL ($41.27->$42.61->$43.50 closes), USO (crude) confirming +0.485%, and today's price trading above the entire prior session's range - continuation, not a pullback. Ranked #1 of 21 profiled instruments (0.974). Held for exactly the scenario the new before-noon ladder was designed for: price stalled three checkpoints running (10:00 $44.00, 10:30 $44.405 - a hair under the 0.37% progression threshold of $44.4137, 11:00 $44.38) without ever reversing hard or clearing the half-risk stage ($44.79), so the old 2-stall rule would have locked breakeven at stall 1 and likely exited near flat; the new rule let it develop and it happened to still be net positive when the 3rd stall forced SELL ALL. Cancelled the resting $43.14 stop cleanly before exiting on a marketable limit, filled with price improvement 1.6c above the $44.45 floor. Net: +$0.22, +0.49% on the position, r=+0.194 - a small, genuine win, not a stop-out. MAE/MFE are checkpoint-sampled bounds (checkpoint low $44.00, best quote seen $44.48 shortly before exit), not tick-level highs/lows - true intraday extremes may have been wider. Same-day round trip now spent per E2; D1 early shutdown invoked immediately after (round trip spent = no entry possible), remaining intraday slots deleted, D4 post-exit review scheduled for ~11:33 ET."
2026-08-20,MSTX,4,09:42:21,10.8399,10:26:13,10.7050,-0.5396,-1.2444,-0.2667,6.1900,-0.2014,0.0000,1.9358,2.8654,44,10.1700,10.1700,12.00,regulatory,bullish,,governor_manual_exit,0.0101,,8f7113e,yes,yes,"First trade under v3.8's full-deployment sizing (floor(settled cash / ask) rather than a flat 1 share) - sized to 4 shares off $46.21 in real settled buying power, itself a same-morning correction after discovering $156.65 of the day's cash was still unsettled from the BSX sale (T+1). Entry cleared C3 magnitude live (+11.7% at 9:40, one of eight names that cleared that morning once the volume leg was removed entirely per yesterday's rule change), ranked #1 of 20 by mfe_per_stop (1.001), passed C2 (MSTR +6.79% led its IBIT sector proxy +4.36%), and had a real named catalyst per C5: Trump hosted crypto executives (Coinbase, Gemini, Kraken, and Robinhood's own CEO) at the White House pushing the Clarity Act, Bitcoin +11.5% same day. Position progressed narrowly at the 10:00 checkpoint (run_high advanced to $10.9415, stop unmoved at $10.17, stage 2 never reached). EXIT WAS NOT RULE-DRIVEN: the governor manually sold all 4 shares mid-session ('I sold I didn't like the trend'), off the checkpoint cadence, before the scheduled 10:30 check. Verified via get_equity_orders that the sell (placed_agent=user) filled 4 @ $10.705 average at 10:26:13 ET; the resting protective stop was auto-cancelled by the broker at the same moment rather than left orphaned. MAE/MFE computed from real minute-bar historicals for the full hold (13:42-14:26 UTC), not checkpoint-sampled estimates: true high $11.15 (13:45 UTC, MFE +2.87%), true low $10.63 (14:20 UTC, MAE +1.94% - both before the exit). Net: -$0.54, -1.24% on the position, r=-0.201 - a small loss, and notably the position was still profitable as recently as the 10:00 checkpoint (+0.94%) and touched +2.87% intraday before the governor read the reversal and exited near the session low. stall_count_at_exit reflects what B3 would have shown cold at the exit moment (1, off the 10:00 run_high never re-confirmed by a checkpoint) - not a checkpoint-derived trigger, since no scheduled check ran between 10:00 and the manual exit. counts_toward_streak/expectancy=yes since this is a real signal trade with real P&L, but the EXIT specifically should not be used to judge whether B2/B3's exit rules are working - discretionary override, not rule output. slippage_exit left blank: user-placed market order, no review_equity_order call was made by this system to establish a reference price. Per governor instruction, next entry will use full settled capital (expected to be close to the full ~$202 once both the BSX and MSTX sale proceeds settle T+1, i.e. by tomorrow's session)."
2026-08-21,CONL,31,09:43:19,6.3299,12:02:54,6.4110,2.5141,1.2812,1.2426,5.5700,0.2300,0.0000,2.6841,3.6351,140,5.98,6.15,8.61,regulatory,bullish,,stall_2_after_noon,0.1566,0.0156,989e88b,yes,yes,"First trade under v3.11's C10 momentum-direction gate, and its first live use. MSTX ranked #1 by mfe_per_stop (0.844) and passed C10 cleanly but was declined on C2 (underlying MSTR +5.80% no longer led sector proxy IBIT +5.95%, by 0.14pp, verified with a direct calculation); CONL (rank #2, 0.773) passed both and became the entry - COIN +7.67% led IBIT +5.95% decisively. Also C10's first live block: TSLL and AMDL both still cleared C3's magnitude bar at 9:40 but were falling versus their own 9:30 readings and were correctly excluded. Entry execution had a real hiccup: the first order (32 shares, $6.29 limit) went unfilled on a fast tape and was cancelled cleanly (verified zero fill via order response) before re-pricing to 31 shares at a $6.38 limit, filling $6.3299. Ratchet advanced once: stage 2 half-risk triggered at 11:00 on a new high of $6.5213, moving the stop from $5.98 to $6.15. EXIT WAS RULE-DRIVEN, NOT DISCRETIONARY: crossed into the at-or-after-noon stall table per B2/B3's explicit noon-crossing rule. Stall count derived cold at the 12:00 checkpoint was already 2 (stall 1 at 11:30, stall 2 at 12:00, continuously counted since the 11:00 progression reset) - the afternoon table's '2 stalls -> SELL ALL' fired unconditionally per B2's own text, overriding the still-resting $6.15 stop, which was cancelled (verified zero fill) before exiting on a marketable limit. True MAE/MFE pulled from real minute-bar historicals for the full hold: true high $6.56 (14:57 UTC, MFE +3.64%), true low $6.16 (14:42 UTC, MAE +2.68%), both mid-hold, well inside the eventual exit. Net: +$2.51, +1.28% on the position, r=+0.230 - a genuine, rule-driven win, and the first live test of both new v3.11 mechanisms (C10's entry gate and the afternoon stall table via the noon-crossing rule) in one trade. Slippage measured against the nearest quote immediately preceding each order, not the limit price (no single historical convention was cleanly reconstructable from prior rows, so this is stated explicitly rather than silently assumed): entry review ask $6.32 vs fill $6.3299 (+0.157%, trivially unfavorable); exit review bid $6.41 vs fill $6.411 (+0.016%, trivially favorable)."
2026-08-21,MSTX,15,12:32:31,12.6591,13:31:44,12.6501,-0.1350,-0.0711,-0.0667,6.7700,-0.0105,0.0000,1.7308,0.8405,59,11.80,11.80,11.43,regulatory,bullish,,stall_2_after_noon,-0.0071,-0.0782,4ff7337,yes,yes,"Second trade of the day, entered 12:30pm after re-qualifying on the specific gate that had declined it that morning: C2 flipped from MSTR trailing IBIT by 0.14pp (9:40 decline) to MSTR leading by 0.68pp (12:30 entry) - a real, verified reversal, not a rationalized re-entry. Still ranked #1 by mfe_per_stop (0.844) all day. C10 passed on a new high versus its last formal 9:40 checkpoint read, with an honestly-flagged gap: this candidate was not re-scanned at every 30-minute checkpoint between 9:40 and 12:30 since the system was managing the CONL position instead, so C10's continuous session_high tracking has a real hole for this specific instrument today. A genuine execution error occurred and was caught fast: the protective stop was first placed at $11.86 (a miscalculation) instead of the correct fill x (1-6.77%) = $11.80; caught within about 30 seconds on recomputation, wrong stop cancelled with zero fill verified, correct stop placed before any adverse move could have exploited the gap. Entered already past noon, so the tighter at-or-after-noon stall table applied from the very first checkpoint (no 3-stall grace period, unlike CONL's morning entry). Stall 1 at 1:00pm (price below fill, stop move correctly rejected per B2's own text rather than forced to breakeven above the live price). Stall 2 at 1:30pm: price ticked marginally above the original run_high ($12.6663 vs seed $12.6591) but did not clear the 0.86% stall_threshold_pct needed to count as a formal progression per B3's literal two-branch logic (only a threshold-clearing move updates run_high and resets the count) - this stayed classified as a stall despite the higher print, and the unconditional 'stall 2 -> SELL ALL' fired. EXIT WAS RULE-DRIVEN, NOT DISCRETIONARY, same mechanism as the CONL exit three hours earlier. Net: -$0.135, -0.07% on the position, r=-0.011 - essentially flat, a rounding-error-sized loss, not a real defeat. True MAE/MFE from real minute-bar historicals for the full 59-minute hold: true high $12.7655 (17:11 UTC, MFE +0.84%), true low $12.44 (17:23 UTC, MAE +1.73%, occurring AFTER the exit) - the position was already closed by the time its actual worst point of the day arrived, which is itself informative: the noon-crossing rule got this position out before the real drawdown, even though the trigger for selling was a tiny early stall, not a read on the eventual low. Slippage measured against the nearest quote immediately preceding each order: entry review ask $12.66 vs fill $12.6591 (-0.0071%, trivially favorable); exit review bid $12.66 vs fill $12.6501 (-0.0782%, trivially unfavorable)."
2026-08-24,MSTX,15,09:43:08,12.8695,10:43:03,13.7900,13.8075,7.1526,6.7456,6.81,1.0503,0.0000,3.0265,9.1729,60,11.99,13.79,10.22,regulatory,bullish,,velocity_trail_stop,-0.1592,0.0000,5016316,yes,yes,"First live trade under v3.13's velocity trigger, and it worked exactly as designed. Entry cleared the newly-rewritten gate stack: C1 declined the whole crypto-vehicle group at 9:40 (IBIT's proxy pulled back below its 9:30 baseline, +1.65% vs +1.95%, failing leg 3) -- that blocked BITX/BITU/ETHU/ETHT/RIOT/MARA/CLSK outright. CONL was separately declined by C2's new leverage-normalized top-3 shortlist (COIN ranked 6th of 9 in the crypto group; ETHU/ETHT/MSTR ranked top 3). MSTX was the sole survivor, MSTR +1.90% on real magnitude, C10 confirmed (not falling, real bounce off session low, giveback only 49% vs the 65% ceiling), C11 passed by default (market open only ~10 min, too little window to compute ER meaningfully -- flagged, not a genuine clearance). Catalyst: weekend ETH short squeeze (~$131M liquidated), large BTC/ETH ETF inflows, Coinbase CEO backing the CLARITY Act -- same theme identified at 9:00 research. Sized 15 sh off $204.69 settled cash, filled $12.8695 (limit $13.03, favorable slippage). The very first management checkpoint (10:00, 17 minutes post-entry) saw a +2.26% pop in bar_high vs the velocity threshold of 2.05% -- trigger fired, stop jumped straight from the initial $11.99 to $13.07 (run_high x (1-stall_threshold_pct)), skipping the half-risk stage entirely since the velocity trail was tighter. Two stop re-placements hit a transient broker glitch (both came back state=cancelled with zero fill and an empty order_checks, no rejection reason surfaced) -- retried each time and the retry confirmed clean; the position was briefly unprotected between attempts but never actually exposed since price never traded through either level during the gap (verified from the minute bars after the fact). At the 10:30 checkpoint run_high advanced to $13.885, clearing both remaining ratchet stages (half-risk $13.163, breakeven $13.456) in one move; velocity trail still computed the tighter stop at $13.79, which became the resting level. True MAE/MFE from real minute-bar historicals for the full 60-minute hold: true high $14.05 (14:33 UTC/10:33 ET, MFE +9.17%), true low $12.48 (13:46 UTC/9:46 ET, MAE +3.03%), both before the eventual stop-out. Position was stopped out by the trailing stop at 10:43 ET as price pulled back from that high -- not a stall-ladder exit, so stall_count_at_exit is not a meaningful field here (left at 0; the stall ladder never got a turn, the stop fired first). Net: +$13.81, +7.15% on the position, r=+1.050 -- the largest single-trade gain logged this account to date, and the first real evidence the velocity trigger delivers what it was built for (this exact result was previewed by the CONL backtest two sessions ago). Exit fill matched the stop price exactly ($13.79), zero exit slippage. Per C12, the T+0 9:30-style re-entry check and the T+10 ad hoc 9:40-style gate stack follow immediately in this same session."
